u_id,label,height,weight
18,0,59.0,59.0
5,0,61.0,54.0
55,0,64.0,60.0
63,0,67.0,55.0
67,0,64.0,60.0
68,0,64.0,60.0
69,0,64.0,60.0
70,0,64.0,60.0
63,0,67.0,55.0
78,0,64.0,60.0
51,3,63.0,45.0
79,3,61.0,45.0
51,3,63.0,45.0
83,0,65.0,58.0
85,0,62.0,60.0
86,0,64.0,60.0
88,3,50.0,43.0
89,3,49.0,42.0
77,3,53.0,45.0
77,3,53.0,45.0
77,3,53.0,45.0
77,3,53.0,45.0
77,3,53.0,45.0
90,2,64.0,75.0
91,0,64.0,60.0
92,0,64.0,60.0
95,3,57.0,43.0
98,0,64.0,60.0
99,0,64.0,60.0
100,2,70.0,73.0
101,4,65.0,70.0
111,3,53.0,45.0
24,0,59.0,59.0
112,0,59.0,59.0
102,0,59.0,59.0
25,0,59.0,59.0
38,0,59.0,59.0
116,3,65.0,47.0
124,4,65.0,69.0
47,0,59.0,59.0
97,4,65.0,67.0
129,4,60.0,62.0
131,0,64.0,60.0
133,3,54.0,45.0
137,3,50.0,42.0
108,3,51.0,46.0
138,4,65.0,69.0
141,0,66.0,57.0
142,3,50.0,44.0
143,0,64.0,60.0
145,3,51.0,44.0
146,3,49.0,43.0
147,3,49.0,42.0
148,3,49.0,42.0
149,3,63.0,44.0
150,3,49.0,42.0
151,1,55.0,89.0
157,0,64.0,60.0
158,3,51.0,43.0
160,3,50.0,44.0
162,3,55.0,52.0
58,3,50.0,45.0
172,3,56.0,48.0
173,3,51.0,44.0
177,3,51.0,48.0
175,4,50.0,64.0
174,3,50.0,48.0
179,0,65.0,57.0
180,3,52.0,42.0
106,0,64.0,60.0
181,3,53.0,48.0
182,0,64.0,60.0
183,0,64.0,60.0
183,0,64.0,60.0
184,3,63.0,46.0
186,0,63.0,61.0
187,0,63.0,56.0
188,1,49.0,100.0
189,3,56.0,46.0
191,3,63.0,50.0
192,0,68.0,60.0
194,4,64.0,63.0
195,3,53.0,45.0
196,0,64.0,60.0
202,4,60.0,69.0
205,0,64.0,56.0
206,0,68.0,60.0
208,0,64.0,53.0
211,3,63.0,50.0
213,3,50.0,43.0
216,3,63.0,45.0
217,3,49.0,44.0
218,4,63.0,70.0
219,3,62.0,50.0
220,3,52.0,42.0
222,4,59.0,65.0
232,4,65.0,70.0
268,3,49.0,42.0
254,0,64.0,55.0
230,3,66.0,49.0
270,0,64.0,57.0
264,0,66.0,60.0
247,0,65.0,57.0
237,0,67.0,55.0
259,4,62.0,65.0
250,0,64.0,52.0
249,4,68.0,70.0
260,0,61.0,60.0
256,3,59.0,45.0
238,4,63.0,70.0
