uid,label,budget_pant,budget_westerndress,budget_top,budget_skirt,budget_kurta,budget_jacket,budget_scarf,budget_jewellery
4589,0,0,0,0,0,0,0,0,0
16164,1,4,4,3,3,3,4,4,1
308,3,5,5,4,4,4,5,5,3
7277,1,3,2,3,3,3,3,3,1
3773,2,3,3,2,2,2,2,2,1
17210,0,0,0,0,0,0,0,0,0
9178,0,0,0,0,0,0,0,0,0
2239,1,4,2,3,3,3,2,2,3
11889,4,4,4,3,3,3,3,3,1
12634,0,0,0,0,0,0,0,0,0
17575,0,0,0,0,0,0,0,0,0
19761,0,0,0,0,0,0,0,0,0
12252,2,4,4,3,3,4,4,4,1
16236,2,4,4,3,3,3,3,3,1
15453,1,4,4,3,3,3,3,3,1
13215,0,0,0,0,0,0,0,0,0
18677,4,4,4,3,3,3,3,3,2
14139,2,4,4,3,3,3,4,4,1
8576,2,3,3,3,3,3,3,3,1
11100,0,0,0,0,0,0,0,0,0
5279,1,4,4,3,3,3,3,3,1
1779,2,3,3,2,3,2,3,3,1
15593,1,4,4,3,3,3,4,4,1
10370,2,4,4,3,3,4,3,3,1
19666,2,4,4,3,3,3,3,3,1
19875,0,0,0,0,0,0,0,0,0
2132,2,3,2,2,2,2,2,2,1
11348,3,5,5,5,5,3,5,5,3
9611,0,0,0,0,0,0,0,0,0
12389,1,4,4,3,3,3,3,3,1
4055,3,4,5,4,3,4,4,4,2
12456,0,0,0,0,0,0,0,0,0
9615,2,4,4,3,3,3,3,3,1
6008,3,4,4,3,3,4,4,4,2
14806,0,0,0,0,0,0,0,0,0
14045,0,0,0,0,0,0,0,0,0
19674,0,0,0,0,0,0,0,0,0
3851,2,3,4,3,3,4,2,2,1
13387,2,4,4,3,3,3,3,3,1
873,4,3,3,3,3,3,4,4,1
3613,0,0,0,0,0,0,0,0,0
12013,1,4,4,3,3,3,4,4,1
13590,3,4,4,4,3,4,4,4,3
15344,3,4,5,3,3,4,4,4,1
2299,1,3,3,2,2,2,3,3,1
12560,1,4,4,3,3,3,3,3,1
1632,1,3,3,3,3,3,2,2,1
16139,4,4,4,3,3,3,3,3,1
1248,0,0,0,0,0,0,0,0,0
11751,1,4,4,3,3,3,3,3,1
14120,1,4,4,3,3,3,3,3,1
15501,0,0,0,0,0,0,0,0,0
12486,0,0,0,0,0,0,0,0,0
17261,0,0,0,0,0,0,0,0,0
15351,0,0,0,0,0,0,0,0,0
3766,0,0,0,0,0,0,0,0,0
5725,2,4,4,3,3,3,4,4,1
1265,4,4,4,4,4,3,4,4,1
11464,1,4,4,3,3,3,3,3,1
10581,1,4,4,3,3,3,3,3,1
4592,1,3,3,3,3,3,3,3,1
17175,1,5,4,3,3,3,4,4,1
3057,4,5,2,5,2,5,2,2,4
17611,0,0,0,0,0,0,0,0,0
17473,0,0,0,0,0,0,0,0,0
1674,2,4,4,3,3,2,2,2,1
11530,3,4,4,4,4,3,5,5,2
18060,0,0,0,0,0,0,0,0,0
3165,3,4,4,4,4,4,4,4,1
2470,0,0,0,0,0,0,0,0,0
6700,0,0,0,0,0,0,0,0,0
15216,0,0,0,0,0,0,0,0,0
16736,3,5,5,5,5,5,5,5,5
7446,0,0,0,0,0,0,0,0,0
16669,1,4,4,3,3,3,4,4,1
9903,0,0,0,0,0,0,0,0,0
8697,0,0,0,0,0,0,0,0,0
11728,2,4,4,3,3,3,4,4,1
1762,2,4,3,2,3,2,3,3,1
19086,1,4,4,3,3,4,3,3,1
6728,1,3,3,3,3,3,3,3,1
7742,1,3,3,3,3,3,3,3,1
18559,0,0,0,0,0,0,0,0,0
9513,2,4,4,3,3,3,4,4,1
17454,0,0,0,0,0,0,0,0,0
18423,0,0,0,0,0,0,0,0,0
16215,2,5,4,3,3,4,4,4,1
5394,1,4,4,3,3,3,3,3,1
3821,4,3,3,3,3,2,2,2,1
1259,1,3,3,2,3,3,3,3,1
16531,2,4,4,3,3,3,3,3,1
1859,0,0,0,0,0,0,0,0,0
1988,0,0,0,0,0,0,0,0,0
8150,2,3,3,3,3,3,3,3,1
1261,0,0,0,0,0,0,0,0,0
4796,2,3,4,3,3,3,3,3,1
14601,0,0,0,0,0,0,0,0,0
15310,0,0,0,0,0,0,0,0,0
18434,1,4,4,3,3,3,5,5,1
6107,0,0,0,0,0,0,0,0,0
12395,3,4,4,3,4,4,4,4,2
7212,0,0,0,0,0,0,0,0,0
6018,2,3,3,3,3,3,3,3,1
2757,0,0,0,0,0,0,0,0,0
1990,1,3,2,2,2,2,2,2,1
4340,3,4,5,4,4,4,5,5,3
291,1,3,3,2,2,3,4,4,3
12588,0,0,0,0,0,0,0,0,0
9303,2,4,4,3,3,3,3,3,1
8044,4,4,4,3,4,3,4,4,1
2603,0,0,0,0,0,0,0,0,0
12220,1,4,4,3,3,3,5,5,1
1935,2,3,2,2,2,4,5,5,1
11285,0,0,0,0,0,0,0,0,0
11129,0,0,0,0,0,0,0,0,0
2993,2,3,4,3,4,3,4,4,1
18020,0,0,0,0,0,0,0,0,0
18234,4,4,4,3,3,3,4,4,1
2350,0,0,0,0,0,0,0,0,0
375,2,4,4,3,3,3,3,3,1
12022,4,4,4,3,3,3,3,3,1
414,1,2,3,2,2,3,4,4,1
17728,0,0,0,0,0,0,0,0,0
19099,4,4,4,3,3,4,3,3,1
13332,0,0,0,0,0,0,0,0,0
12698,3,4,4,4,3,4,4,4,2
2045,1,4,4,3,4,3,4,4,1
18371,0,0,0,0,0,0,0,0,0
9904,0,0,0,0,0,0,0,0,0
3517,1,3,4,2,2,3,2,2,1
9690,0,0,0,0,0,0,0,0,0
1105,0,0,0,0,0,0,0,0,0
12907,1,4,4,3,3,3,3,3,1
8406,1,3,3,3,3,3,3,3,1
4533,2,3,3,3,3,3,4,4,1
10564,0,0,0,0,0,0,0,0,0
1365,1,3,2,2,2,2,2,2,1
5389,0,0,0,0,0,0,0,0,0
1594,1,4,4,3,3,3,4,4,1
16509,0,0,0,0,0,0,0,0,0
8699,1,3,3,3,3,3,4,4,1
4360,0,0,0,0,0,0,0,0,0
18295,1,4,4,3,3,4,4,4,1
8138,1,4,4,4,4,4,3,3,1
1306,3,4,5,4,4,2,4,4,1
