u_id,s_id,o_id,return_count,returns nms,return_count similar,nonreturn_count,return_shape
17946,12382,4021,2,2,0,3,0
509,12382,3960,4,0,1,1,3
577,12382,3545,4,1,2,1,0
765,12382,3650,4,2,0,1,1
772,12382,3610,4,0,0,1,2
17334,12382,3985,0,0,0,5,0
10652,12382,3335,3,1,0,2,2
890,12382,3467,5,1,1,0,1
14704,12382,3400,5,2,1,0,0
17577,12382,3922,3,0,0,2,1
14661,12382,3418,2,0,0,3,0
17170,12382,3837,5,1,0,0,2
17104,12382,3803,5,1,0,0,0
15112,12382,3424,3,0,2,2,0
15390,12382,3478,5,0,1,0,3
2468,12382,3687,5,1,1,0,3
4577,12382,3847,5,1,1,0,0
15422,12382,3480,5,1,0,0,4
3972,12382,4089,5,1,2,0,2
4107,12382,3851,3,0,0,2,3
16695,12382,3716,5,1,0,0,3
13808,12382,3653,3,1,1,2,0
296,12382,3950,5,2,2,0,0
11279,12382,3682,4,1,1,1,0
15345,12382,3446,5,2,0,0,3
15327,12382,3445,3,2,0,1,0
9788,12382,3692,3,2,1,1,0
15198,12382,3435,4,2,0,1,0
3981,12382,3694,2,0,1,3,1
14643,12382,3421,5,5,0,0,0
15601,12382,3499,3,0,0,2,2
14605,12382,3964,2,0,0,3,1
17741,12382,3952,5,0,4,0,0
4240,12382,3508,4,0,0,1,0
12424,12382,3517,4,0,1,1,2
15134,12382,3429,4,2,0,0,0
17405,12382,3940,5,0,0,0,0
16335,12382,3901,5,1,1,0,2
3788,12382,4100,2,0,0,3,0
506,12382,3825,5,5,0,1,0
17861,12382,3996,5,2,2,0,0
5218,12382,3052,3,2,0,2,1
17211,12382,3823,5,2,0,0,1
15089,12382,3443,4,0,1,1,1
17047,12382,3802,5,5,0,0,0
4114,2660,1176,1,0,0,4,1
3587,2660,1085,4,4,0,1,0
3954,2660,1143,4,2,2,1,0
3095,2660,948,4,1,2,1,1
1516,2660,974,5,3,2,0,0
3543,2660,1075,3,2,0,2,1
4333,2660,1218,5,2,1,0,1
3485,2660,1077,4,1,0,1,3
2792,2660,894,3,2,0,2,1
2148,2660,1036,5,1,0,0,2
3830,2660,1124,5,1,0,0,4
3195,2660,968,3,2,0,2,1
3717,2660,1102,0,0,0,5,0
3227,2660,1225,0,0,0,5,0
3820,2660,1122,0,0,0,5,0
3846,2660,1129,0,0,0,5,0
577,2660,1189,2,0,0,3,2
868,2660,1130,2,2,0,3,0
3338,2660,1048,5,1,2,0,2
2641,2660,924,3,1,1,2,0
3610,2660,1087,5,2,1,0,2
3740,2660,1105,0,0,0,5,0
643,2660,1053,4,2,0,1,2
3379,2660,1021,4,1,0,1,3
2896,2660,917,1,0,0,4,1
3215,2660,976,3,2,0,2,1
3427,2660,1052,2,1,1,3,0
3121,2660,1120,3,1,1,2,1
3116,2660,954,5,2,2,0,1
3799,2660,1119,2,1,1,3,0
3167,2660,962,5,3,1,0,1
3243,2660,978,5,1,1,0,1
4028,2660,1154,5,3,1,0,0
2721,2660,981,3,2,0,2,1
4182,2660,1224,4,2,0,1,2
3500,2660,1070,4,2,1,1,1
382,2660,1136,3,1,1,2,1
4480,2660,1247,4,1,1,1,0
3284,2660,983,5,3,0,0,0
3177,2660,1004,3,1,0,2,1
2577,2660,855,3,1,0,2,0
4083,2660,1167,3,2,0,2,1
3461,2660,1046,4,1,2,1,1
3437,2660,1040,0,0,0,5,0
2869,2660,906,4,3,0,1,1
3096,2660,947,0,0,0,5,0
2860,2660,902,3,0,1,2,2
3486,2660,1056,2,1,0,3,1
3653,2660,1097,4,0,2,1,1
3966,2660,1149,0,0,0,5,0
3333,2660,1008,2,2,0,3,0
3964,2660,1210,4,2,0,1,2
3892,2660,1137,5,1,1,0,2
3869,2660,1172,2,0,1,3,1
4063,2660,1162,5,2,1,0,1
4279,2660,1211,4,3,1,1,0
3696,2660,1100,3,0,3,2,0
2731,2660,1042,2,1,0,3,1
900,2660,1192,2,0,0,2,1
