s_id,u_id,return_count,returns nms,return_count similar,nonreturn_count,return_shape
12382,17946,2,2,0,3,0
12382,509,4,0,1,1,3
12382,577,4,1,2,1,0
12382,765,9,3,1,1,2
12382,772,4,0,0,1,2
12382,17334,0,0,0,5,0
12382,10652,12,1,0,8,11
12382,890,5,1,1,0,1
12382,14704,14,3,5,1,3
12382,17577,3,0,0,2,1
12382,14661,18,5,0,7,3
12382,17170,5,1,0,0,2
12382,17104,5,1,0,0,0
12382,15112,6,1,3,4,0
12382,15390,7,0,1,8,5
12382,2468,5,1,1,0,3
12382,4577,5,1,1,0,0
12382,15422,5,1,0,0,4
12382,3972,5,1,2,0,2
12382,4107,3,0,0,2,3
12382,16695,5,1,0,0,3
12382,13808,3,1,1,2,0
12382,296,5,2,2,0,0
12382,11279,4,1,1,1,0
12382,15345,5,2,0,0,3
12382,15327,3,2,0,1,0
12382,9788,3,2,1,1,0
12382,15198,4,2,0,1,0
12382,3981,2,0,1,3,1
12382,14643,10,9,0,0,0
12382,15601,3,0,0,2,2
12382,14605,2,0,0,3,1
12382,17741,5,0,4,0,0
12382,4240,8,2,1,2,0
12382,12424,4,0,1,1,2
12382,15134,4,2,0,0,0
12382,17405,5,0,0,0,0
12382,16335,5,1,1,0,2
12382,3788,2,0,0,3,0
12382,506,5,5,0,1,0
12382,17861,5,2,2,0,0
12382,5218,3,2,0,2,1
12382,17211,5,2,0,0,1
12382,15089,4,0,1,1,1
12382,17047,5,5,0,0,0
2660,4114,1,0,0,4,1
2660,3587,9,7,0,1,2
2660,3954,4,2,2,1,0
2660,3095,4,1,2,1,1
2660,1516,5,3,2,0,0
2660,3543,3,2,0,2,1
2660,4333,5,2,1,0,1
2660,3485,8,3,0,2,4
2660,2792,3,2,0,2,1
2660,2148,5,1,0,0,2
2660,3830,5,1,0,0,4
2660,3195,3,2,0,2,1
2660,3717,0,0,0,5,0
2660,3227,0,0,0,5,0
2660,3820,0,0,0,5,0
2660,3846,0,0,0,5,0
2660,577,2,0,0,3,2
2660,868,2,2,0,3,0
2660,3338,5,1,2,0,2
2660,2641,3,1,1,2,0
2660,3610,5,2,1,0,2
2660,3740,0,0,0,5,0
2660,643,4,2,0,1,2
2660,3379,4,1,0,1,3
2660,2896,1,0,0,4,1
2660,3215,3,2,0,2,1
2660,3427,2,1,1,3,0
2660,3121,3,1,1,2,1
2660,3116,5,2,2,0,1
2660,3799,2,1,1,3,0
2660,3167,10,8,1,0,1
2660,3243,5,1,1,0,1
2660,4028,5,3,1,0,0
2660,2721,3,2,0,2,1
2660,4182,4,2,0,1,2
2660,3500,4,2,1,1,1
2660,382,3,1,1,2,1
2660,4480,4,1,1,1,0
2660,3284,5,3,0,0,0
2660,3177,3,1,0,2,1
2660,2577,3,1,0,2,0
