u_id,s_id,o_id,return_count,return_count nms,return_count similar,nonreturn_count,return_shape,return_budget
625,511,204,3,1,0,5,0,2
627,337,206,0,0,0,4,0,0
635,337,208,0,0,0,2,0,0
643,511,210,0,0,0,4,0,0
618,511,213,0,0,0,5,0,0
668,337,221,0,0,0,5,0,0
677,337,225,0,0,0,5,0,0
554,337,227,0,0,0,5,0,0
678,338,224,0,0,0,5,0,0
673,337,222,0,0,0,5,0,0
644,511,226,0,0,0,3,0,0
615,511,199,0,0,0,8,0,0
708,337,231,0,0,0,4,0,0
669,338,235,0,0,0,5,0,0
504,337,243,0,0,0,8,0,0
717,337,238,0,0,0,8,0,0
296,761,251,0,0,0,5,0,0
269,337,252,0,0,0,4,0,0
317,408,272,0,0,0,8,0,0
789,337,265,0,0,0,5,0,0
800,338,268,0,0,0,5,0,0
747,337,274,0,0,0,5,0,0
678,338,279,0,0,0,5,0,0
809,337,271,0,0,0,4,0,0
559,511,273,0,0,0,4,0,0
815,511,276,0,0,0,3,0,0
577,337,278,0,0,0,4,0,0
669,338,282,0,0,0,4,0,0
771,337,290,0,0,0,5,0,0
845,511,283,0,0,0,8,0,0
702,511,281,0,0,0,3,0,0
18,43,1,2,0,0,3,1,0
807,337,270,0,0,0,5,0,0
850,511,286,0,0,0,5,0,0
854,338,288,0,0,0,8,0,0
813,337,291,0,0,0,8,0,0
846,337,284,0,0,0,4,0,0
840,511,285,0,0,0,5,0,0
878,511,293,0,0,0,5,0,0
853,338,287,0,0,0,4,0,0
703,511,295,0,0,0,5,0,0
883,337,294,0,0,0,5,0,0
900,337,299,0,0,0,5,0,0
897,511,298,0,0,0,5,0,0
911,511,301,0,0,0,3,0,0
576,337,306,0,0,0,5,0,0
894,337,303,0,0,0,5,0,0
931,338,307,0,0,0,4,0,0
935,761,308,0,0,0,6,0,0
302,511,310,0,0,0,4,0,0
673,511,309,0,0,0,4,0,0
938,337,311,0,0,0,4,0,0
941,760,320,0,0,0,3,0,0
970,511,321,0,0,0,3,0,0
877,337,315,0,0,0,4,0,0
914,511,324,0,0,0,5,0,0
1006,511,328,0,0,0,4,0,0
506,511,330,0,0,0,5,0,0
975,511,323,0,0,0,2,0,0
1007,338,329,0,0,0,6,0,0
936,337,336,0,0,0,5,0,0
1049,511,335,0,0,0,5,0,0
1061,511,338,0,0,0,5,0,0
1070,337,343,0,0,0,5,0,0
1069,338,342,0,0,0,4,0,0
1077,511,345,0,0,0,5,0,0
1085,337,347,0,0,0,4,0,0
1080,337,346,0,0,0,5,0,0
618,511,349,0,0,0,1,0,0
1091,338,350,0,0,0,3,0,0
1093,511,351,0,0,0,5,0,0
1109,511,353,0,0,0,4,0,0
1112,337,354,0,0,0,4,0,0
1123,337,358,0,0,0,5,0,0
627,337,361,0,0,0,4,0,0
1072,511,344,0,0,0,5,0,0
1122,337,355,0,0,0,5,0,0
577,337,387,1,1,0,2,0,0
1155,337,396,0,0,0,4,0,0
740,337,398,0,0,0,5,0,0
758,760,395,0,0,0,5,0,0
777,511,393,0,0,0,4,0,0
1128,338,397,0,0,0,5,0,0
1125,338,400,0,0,0,4,0,0
1157,761,399,0,0,0,5,0,0
603,511,407,0,0,0,3,0,0
1162,338,405,0,0,0,5,0,0
1153,511,389,0,0,0,5,0,0
374,338,412,1,0,0,4,1,0
673,511,414,0,0,0,5,0,0
748,511,409,0,0,0,3,0,0
669,338,410,0,0,0,5,0,0
502,511,402,0,0,0,4,0,0
559,511,415,0,0,0,5,0,0
1175,337,416,0,0,0,5,0,0
1182,337,417,0,0,0,5,0,0
735,511,420,0,0,0,4,0,0
356,511,425,0,0,0,5,0,0
1196,511,423,0,0,0,3,0,0
1208,337,428,4,2,2,1,0,0
1214,511,430,0,0,0,5,0,0
808,337,431,4,3,0,1,1,0
1018,337,426,4,2,0,1,1,1
1184,337,419,0,0,0,5,0,0
1228,43,435,0,0,0,6,0,0
939,511,437,5,3,1,0,1,0
1224,337,436,5,2,1,0,0,2
1221,337,432,4,2,0,1,2,0
1066,338,424,0,0,0,5,0,0
668,511,434,0,0,0,5,0,0
619,511,429,3,2,0,2,1,0
1132,337,421,0,0,0,4,0,0
1243,338,439,4,0,0,1,4,0
1256,337,441,5,4,1,0,0,0
1260,511,442,0,0,0,5,0,0
1264,337,443,0,0,0,5,0,0
1250,511,440,4,1,0,1,2,1
1290,511,446,4,0,0,0,3,1
308,338,451,0,0,0,5,0,0
1314,337,459,5,2,3,0,0,0
1337,337,460,4,1,0,1,2,1
1329,511,458,0,0,0,5,0,0
1294,511,447,0,0,0,5,0,0
1309,511,452,0,0,0,4,0,0
1327,337,457,0,0,0,4,0,0
1323,337,456,4,3,0,1,1,0
1303,338,449,0,0,0,5,0,0
1321,337,455,0,0,0,5,0,0
1236,511,462,1,1,0,4,0,0
1361,337,464,3,1,1,2,1,0
1395,337,475,2,1,0,3,1,0
1385,338,473,2,1,1,3,0,0
1387,337,474,3,1,1,2,1,0
1377,337,471,5,1,0,0,3,1
1343,338,461,2,1,1,3,0,0
1367,761,467,5,1,1,0,3,0
1398,337,476,5,1,0,0,2,2
1339,338,477,0,0,0,5,0,0
1421,787,485,0,0,0,5,0,0
1428,761,486,2,1,0,3,0,1
985,337,488,3,1,1,2,1,0
1459,787,494,0,0,0,5,0,0
1462,787,495,0,0,0,5,0,0
1462,787,499,0,0,0,4,0,0
622,338,497,4,0,2,1,1,1
1229,511,514,2,2,0,3,0,0
1481,511,513,0,0,0,5,0,0
1454,337,510,3,1,0,2,2,0
1470,511,506,2,0,0,3,2,0
1468,338,501,0,0,0,5,0,0
1423,337,487,0,0,0,5,0,0
1386,337,511,2,1,0,3,1,0
1448,408,491,0,0,0,4,0,0
1474,511,507,4,1,1,1,1,1
1513,787,523,0,0,0,6,0,0
1341,337,504,4,0,1,1,2,1
1480,337,512,5,1,2,0,2,0
1471,511,505,3,0,1,2,1,1
1513,787,525,0,0,0,5,0,0
1515,511,526,4,0,1,1,1,2
509,511,529,0,0,0,5,0,0
912,337,492,2,1,1,3,0,0
