uid,label,western_classic,western_feminine,western_contemporary,western_boho,indo_western,indian_traditional,indian_classic,indian_contemporary,indian_funky,clothes_work
4589,2,1.0,3.0,4.0,2.0,3.0,2.0,1.0,3.0,1.0,12
16164,1,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,12
308,0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,3.0,1.0,3
7277,0,4.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3
3773,4,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3
17210,2,2.0,2.0,2.0,2.0,2.0,2.0,2.6,2.4,2.6,12
9178,3,3.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,6
2239,0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,3
11889,3,2.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,6
12634,3,3.0,3.0,3.0,3.0,3.0,2.0,2.6,2.4,2.6,6
17575,1,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,12
19761,2,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,12
12252,2,3.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,12
16236,1,3.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,12
15453,1,2.0,2.0,2.0,3.0,4.0,2.0,4.0,4.0,4.0,12
13215,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,12
18677,1,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,12
14139,0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3
8576,0,3.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3
11100,2,2.0,2.0,3.0,4.0,2.0,1.0,3.0,3.0,1.0,12
5279,3,2.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,6
1779,0,4.0,3.0,4.0,1.0,1.0,2.0,3.0,3.0,1.0,0
15593,3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6
10370,0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,0
19666,4,2.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3
19875,1,4.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,12
2132,2,2.0,3.0,3.0,2.0,2.0,2.0,2.6,2.4,2.6,12
11348,3,3.0,2.0,3.0,1.0,2.0,2.0,2.6,2.4,2.6,6
9611,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3
12389,2,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,12
4055,4,4.0,4.0,4.0,4.0,4.0,1.25,4.0,4.0,4.0,0
12456,2,2.0,2.0,3.0,2.0,2.0,2.0,2.6,2.4,2.6,12
9615,4,2.0,3.0,4.0,2.0,4.0,2.0,4.0,4.0,1.0,3
6008,0,2.0,2.0,3.0,1.0,2.0,2.0,2.6,2.4,2.6,3
14806,4,2.0,2.0,2.0,2.0,3.0,2.0,2.6,2.4,2.6,3
14045,3,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,6
19674,1,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,12
3851,4,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3
13387,3,3.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,6
873,0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,3
3613,2,2.0,3.0,4.0,3.0,2.0,1.0,2.0,1.0,1.0,12
12013,3,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,6
13590,1,2.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,12
15344,4,2.0,2.0,2.0,3.0,4.0,4.0,3.0,2.0,2.0,3
2299,3,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,6
12560,0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,3
1632,0,2.0,3.0,4.0,1.0,1.0,2.0,2.6,2.4,2.6,3
16139,4,3.0,2.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,3
1248,3,1.0,2.0,2.0,3.0,2.0,2.0,2.6,2.4,2.6,6
11751,2,3.0,4.0,3.0,1.0,3.0,1.0,2.0,3.0,1.0,12
14120,4,2.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,3
15501,0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3
12486,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3
17261,1,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,12
15351,1,2.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,12
3766,0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3
5725,2,2.0,3.0,4.0,2.0,2.0,2.0,2.6,2.4,2.6,12
1265,0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,0
11464,2,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,12
10581,2,3.0,4.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,12
4592,3,2.0,2.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,6
17175,3,2.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,6
3057,4,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,3
17611,2,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,12
17473,3,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,6
1674,0,2.0,2.0,2.0,2.0,2.0,2.0,2.6,2.4,2.6,3
11530,2,2.0,2.0,3.0,1.0,2.0,2.0,2.6,2.4,2.6,12
18060,2,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,12
